City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,cherdyn',60.403,56.4787,2.22,96,91,2.97,RU,1712965290
347,kalemie,-5.9475,29.1947,23.6,86,93,1.26,CD,1712965290
348,jutai,-5.1833,-68.9,24.31,97,87,1.4,BR,1712965290
349,panama city beach,30.1766,-85.8055,22.01,62,0,2.24,US,1712965026
350,tapes,-30.6733,-51.3958,20.5,92,100,8.82,BR,1712965290
351,badger,64.8,-147.5333,4.43,71,75,5.66,US,1712964892
352,tumayr,25.7039,45.868,21.74,38,50,2.97,SA,1712965290
353,ar ruways,24.1103,52.7306,24.43,59,100,5.65,AE,1712965290
354,malvan,16.0667,73.4667,25.68,74,26,4.01,IN,1712964861
355,akhalk'alak'i,41.4051,43.4863,5.44,90,20,0.58,GE,1712965290
356,imbituba,-28.24,-48.6703,24.92,89,100,5.89,BR,1712965290
357,tindouf,27.6711,-8.1474,21.64,15,0,5.89,DZ,1712965290
358,sorong,-0.8833,131.25,27.95,78,81,0.69,ID,1712965290
359,mutoko,-17.397,32.2268,15.03,81,100,1.46,ZW,1712965290
360,natal,-5.795,-35.2094,28.36,89,40,2.57,BR,1712964723
361,suva,-18.1416,178.4415,30.71,70,20,2.57,FJ,1712965291
362,bowen,-20.0167,148.2333,26.32,68,64,8.71,AU,1712965291
